CD_DISPOSITIVO,CD_NOME_TAG,VALUE,DT_MODBUS,ALARM,NM_EQUIPAMENTO,DT_MODBUS_CONV
ERPJU2103,ERP_ERPJU2103_BATTERY_REMAINING_CAPACITY,62,1658041470,False,CDC,2022-07-17T07:04:32.000+0000
CRM684433,CRM_CRM684433_BATTERY_REMAINING_CAPACITY,66,1658041470,True,CDC,2022-07-17T07:04:32.000+0000
CRM4000502306,CRM_CRM4000502306_BATTERY_REMAINING_CAPACITY,66,1658041600,False,CDC,2022-07-17T07:06:40.000+0000
CRM500388,CRM_CRM500388_BATTERY_REMAINING_CAPACITY,67,1658041730,True,CDC,2022-07-17T07:08:48.000+0000
CRM617299,CRM_CRM617299_BATTERY_REMAINING_CAPACITY,66,1658041730,False,CDC,2022-07-17T07:08:48.000+0000
ERPCA55510,ERP_ERPCA55510_BATTERY_REMAINING_CAPACITY,36,1658041860,False,CDC,2022-07-17T07:10:56.000+0000
ERPPR15504,ERP_ERPPR15504_BATTERY_REMAINING_CAPACITY,46,1658041980,False,CDC,2022-07-17T07:13:04.000+0000
CRM653068,CRM_CRM653068_BATTERY_REMAINING_CAPACITY,64,1658041980,False,CDC,2022-07-17T07:13:04.000+0000
CRM4000813490,CRM_CRM4000813490_BATTERY_REMAINING_CAPACITY,63,1658042110,False,CDC,2022-07-17T07:15:12.000+0000
CRM937354,CRM_CRM937354_BATTERY_REMAINING_CAPACITY,64,1658042240,False,CDC,2022-07-17T07:17:20.000+0000
CRM492191,CRM_CRM492191_BATTERY_REMAINING_CAPACITY,65,1658042240,False,CDC,2022-07-17T07:17:20.000+0000
CRM4000754643,CRM_CRM4000754643_BATTERY_REMAINING_CAPACITY,62,1658042750,False,CDC,2022-07-17T07:25:52.000+0000
ERPJU15505,ERP_ERPJU15505_BATTERY_REMAINING_CAPACITY,60,1658043140,True,CDC,2022-07-17T07:32:16.000+0000
CRM719227,CRM_CRM719227_BATTERY_REMAINING_CAPACITY,65,1658043260,False,CDC,2022-07-17T07:34:24.000+0000
ERPJU15504,ERP_ERPJU15504_BATTERY_REMAINING_CAPACITY,61,1658043520,False,CDC,2022-07-17T07:38:40.000+0000
CRM453924,CRM_CRM453924_BATTERY_REMAINING_CAPACITY,67,1658043520,False,CDC,2022-07-17T07:38:40.000+0000
ERPSJBV55501,ERP_ERPSJBV55501_BATTERY_REMAINING_CAPACITY,63,1658043650,False,CDC,2022-07-17T07:40:48.000+0000
CRM708148,CRM_CRM708148_BATTERY_REMAINING_CAPACITY,63,1658043780,False,CDC,2022-07-17T07:42:56.000+0000
CRM536432,CRM_CRM536432_BATTERY_REMAINING_CAPACITY,66,1658043900,False,CDC,2022-07-17T07:45:04.000+0000
